categoryID,round,category,categoryComment,categoryAssigned,subcategoryAssigned
231,2,ARCHITECTURE,,Geography,Cities
232,2,POPPY CULTURE,,Nature,Plants
233,3,OSCAR WINNERS,,Entertainment,The Oscars
234,1,THE BIBLE,,Language,Literature
235,1,SPORTSTALK,(Alex: In which you have to identify the sport.),Language,Words & Word Play
236,1,GOVERNMENT & POLITICS,,Politics,Government
237,1,"ON THE ""OUT""s",,Language,Words & Word Play
238,1,CHINA,,Geography,Cities
239,1,"RICE, RICE BABY",,Science,Health
240,2,LITERATURE,,Language,Literature
241,2,20TH CENTURY AMERICA,,History,Chronology
242,2,TITLE FILM FOLK,(Alex: Who played 'em?),Entertainment,Movies & Film
243,2,WHERE IT HAPPENED,,Geography,Cities
244,2,FRENCH WEIGHTS & MEASURES,,Science,Measurements
245,2,"ENDS IN ""TT""",,Geography,Cities
246,3,INVENTIONS,,Language,Words & Word Play
247,1,GENERAL SCIENCE,,Science,Chemistry
248,1,GETTING POSSESSIVE,,Geography,Mountains
250,1,ARCHITECTS,,Geography,Cities
251,1,1994 FILMS,,Entertainment,Movies & Film
252,1,THE EYES HAVE IT,,Nature,Plants
253,2,ALASKA,,Geography,Cities
254,2,INTERNATIONAL SPORTSMEN,,Sports,Competition
255,2,DRAMA QUEENS,,History,Monarchies
256,2,ANGELS,,Entertainment,Movies & Film
257,2,IN EXILE,,Geography,Countries
258,2,"THE ""I""s HAVE IT",,Language,Words & Word Play
259,3,THE MAP OF EUROPE,,Geography,Countries
260,1,THE GRATEFUL DEAD,,Geography,Cities
261,1,CITY OF THE DAY: BOSTON,,Geography,Cities
262,1,PETS,,Nature,Pets
263,1,FASHION DESIGNERS,,Culture,Fashion
264,1,A SHORT HISTORY OF WESTERN UNION,,Language,Words & Word Play
265,1,"""TOP"" DRAWER",,Geography,Cities
266,2,THE DEADFUL GREAT,,Geography,Cities
267,2,BILL MURRAY FILM QUOTES,,Language,Words & Word Play
268,2,THE MODERN ARMY,(Sarah:  We'll show you the tools it's using to meet 21st century challenges. ),Culture,Food & Drink
269,2,NATIONAL MEDAL OF ARTS RECIPIENTS,,Language,Literature
270,2,LITERARY WHICH CAME FIRST,,Language,Words & Word Play
271,2,FEMININE WORDS,,Language,Words & Word Play
272,3,CANADIAN POSTAL ABBREVIATIONS,,Language,Letters & Letter Play
273,1,INDEPENDENCE!,,Geography,Countries
274,1,LET'S HAVE A BALL,,Language,Words & Word Play
275,1,MUSIC OF THE '90s,,Music,Contemporary Music
276,1,HISTORICAL NOVELS,,Language,Literature
277,1,FOOD,,Culture,Food & Drink
278,1,"""FIRE""WORKS",,Language,Words & Word Play
279,2,CELEBRATING THE IV,,History,Monarchies
280,2,HORSE SENSE,,Nature,Zoology
281,2,AROUND ASIA,,Geography,Countries
282,2,NAME THE TV SHOW,,Entertainment,Television
283,2,ARCHAEOLOGY,,Geography,Cities
284,2,"""RED"", ""WHITE"" & ""BLUE""","(Alex: One, two, perhaps all three words will come up in the correct response)",Other,Colors
285,3,U.S. HISTORY,(Alex:  Good subject for this day!),Politics,Presidents
286,1,JUNE SWOON,,Culture,Events
287,1,DAVES OF OUR LIVES,,Sports,Teams
288,1,TOOLS,,Language,Words & Word Play
289,1,MANHATTAN'S MUSEUM MILE,,Culture,Museums
290,1,GAMES,,Entertainment,Games
291,1,3-LETTER WORDS,,Language,Words & Word Play
292,2,CITY OF THE DAY: SAN FRANCISCO,,Geography,Cities
294,2,"LITERARY CROSSWORD CLUES ""L""",,History,Monarchies
295,2,"PEOPLE, PLACES & THINGS WE KNOW",,History,Chronology
296,2,EMISSARY TO AMERICA,,Politics,World Leaders
297,2,MARK ANTONYMS,,Language,Words & Word Play
298,3,UNIVERSITIES,,Other,Colleges & Universities
299,1,ODD AMERICAN HISTORY,,Nature,Zoology
300,1,THE 1970s MUSIC SCENE,,Geography,Cities
301,1,THERE'S A PLACE FOR US,,Geography,Cities
302,1,CITY SEALS,,Geography,Cities
303,1,III,,Politics,Presidents
304,1,MISSING LINKS,,Language,Words & Word Play
305,2,MEDICAL CENTER,,Science,Health
307,2,THE APPRENTICE,,Culture,Art
308,2,SHORTENED FIRST NAMES,,Politics,Government
309,2,ANTARCTIC EXPLORATION,,History,Ships & Sailors
310,2,THEATRE TALK,,Language,Words & Word Play
311,3,MAGAZINES,(Alex: Something we all enjoy...),Entertainment,Magazines & Newspapers
312,1,MEDICAL BREAKTHROUGHS,,Science,Health
313,1,PRO FOOTBALL,,Sports,Teams
314,1,THEY WERE FREEMASONS,,Language,Words & Word Play
315,1,CLEAN FREAK,,Language,Words & Word Play
316,1,ART-PODGE,,Culture,Art
317,1,"""TIC"" TALK",,Science,Outer Space
318,2,BOTSWANA ANAGRAMS,,Geography,Cities
319,2,SERGEI EISENSTEIN CINEMA,,Entertainment,Movies & Film
320,2,"OPERA HAS BEEN VERDI, VERDI GOOD TO ME",,Culture,Theatre
321,2,IT'S MY LIFE,,Entertainment,Movies & Film
322,2,FRANCE LOSES THE FIGHT,,History,War
323,2,EGGS-ACTLY,,Culture,Food & Drink
324,3,HISTORIC GEOGRAPHY,,Geography,Cities
325,1,SCIENCE & NATURE,,Other,Colors
326,1,FROM BOOK TO TV,,Language,Literature
327,1,VICE PRESIDENTS,,Politics,Presidents
328,1,CLICHE ORIGINS,"(Alex: We'll give you the origin, you give us the cliche in...)",Nature,Trees
329,1,BREAD,,Culture,Food & Drink
330,1,CIRCUSES,,Language,Words & Word Play
331,2,THE NEW TESTAMENT,,Language,Literature
332,2,MEASURE FOR MEASURE,,Science,Measurements
333,2,MUSICIANS,,Entertainment,Magazines & Newspapers
334,2,EUROPEAN CAPITALS,,Geography,Cities
335,2,WHAT'S IN AN ARTIST'S NAME?,,Culture,Art
336,2,"BEFORE, DURING & AFTER","(Alex: It's a lot like BEFORE & AFTER, but there is an added element.)",Religion,The Church
337,3,COLLECTIBLES,,Language,Words & Word Play
338,1,JOLIET,,Geography,Bodies of Water
339,1,SING SING,,Language,Words & Word Play
340,1,OZ,"(Alex: All the clues will refer to the books, not the movie.)",Language,Words & Word Play
341,1,ANDERSONVILLE,,History,Famous Women
342,1,"CHATEAU ""DIF""",,Language,Words & Word Play
343,1,PRISON LIFE,"(Alex: And finally, we'll deal with an unpleasant subject...)",Language,Words & Word Play
344,2,CITY OF THE DAY: MINNEAPOLIS,,Geography,Cities
345,2,FROM BOOK TO FILM,"(Alex: We'll name a book, you ID the movie based on it.)",Science,Outer Space
346,2,CRITTERS OF THE AMAZON,,Nature,Birds
347,2,WORLD LEADERS,,History,Monarchies
348,2,SHOW SOME PRIDE,,Language,Words & Word Play
349,2,CREW CLUES,,Language,Words & Word Play
350,3,ROYALTY,,Geography,Cities
351,1,CITY OF THE DAY: PHOENIX,,Other,Hotels
352,1,NEWS OF 2005,,Politics,Government
353,1,MUSICALLY INCLINED,,Music,Contemporary Music
354,1,BROWNIE POINTS,,Language,Words & Word Play
356,1,YOU'RE SUCH A TOOL!,,Entertainment,Games
357,2,DRAMATISTS,,Language,Literature
358,2,WOMEN DIRECTING WOMEN,,Entertainment,Movies & Film
359,2,KNOW YOUR EARTH,,Language,Words & Word Play
360,2,"""BLUE"" PLATE SPECIAL",,Other,Colors
361,2,A  PARADE  OF THE WORST DICTATORS,(Alex: This is a list from  Parade  magazine.),Geography,Countries
362,2,11-LETTER WORDS,,Language,Words & Word Play
363,3,U.S. NEWSPAPERS,,Geography,Cities
364,1,HAM,,Business,Brands
365,1,CLASSIC FILM MONSTERS,,Entertainment,Movies & Film
366,1,EXPERIMENTS,,Language,Words & Word Play
367,1,"""U"" WHO",,Entertainment,Movies & Film
368,1,KILLERS,,Entertainment,Movies & Film
369,1,3-LETTER WORDS,,Language,Letters & Letter Play
370,2,"""HAMLET""","(Alex: The play, of course)",Language,Shakespeare
371,2,COUNTRY MUSIC STARS,,Music,Contemporary Music
372,2,FERDINAND RULES!,,History,Monarchies
373,2,WAVES,,History,Famous Women
374,2,ON THE RISK BOARD,,Geography,Countries
375,2,3-D,(Alex: Don't be misled by this category; there will be 3 D's; 3 of the letter D in each correct response),Culture,Events
376,3,CLASSICAL COMPOSERS,,Music,Classical Music
377,1,STATE CAPITALS,,Geography,Cities
379,1,ECONOMICS,,Language,Words & Word Play
380,1,12-LETTER WORDS,,Language,Words & Word Play
381,1,THAT WAS NO LADY,,Entertainment,The Oscars
382,1,THAT WAS MY WIFE,(Alex: We want you to name the husband.),Geography,Cities
383,2,BRITISH ART & ARTISTS,,Culture,Art
384,2,ENTERTAINMENT MILESTONES,,Entertainment,Television
385,2,THE NIXON ERA,,Politics,Law
386,2,VALUES,,Science,Measurements
387,2,CURMUDGEONLY QUOTES,,Language,Literature
388,2,DOUBLE LETTERS,(Alex: Double letters will occur in each correct response.),Language,Words & Word Play
389,3,ROYALTY,,History,Monarchies
390,1,THE LAKE COUNTRY,(Alex: You have to identify the country.),Geography,Bodies of Water
391,1,MYTHMASH,,Religion,God & Gods
392,1,SONG LYRICS,,Music,Contemporary Music
393,1,ALONG CAME A SPIDER,,Language,Words & Word Play
394,1,E-COMMERCE,,Entertainment,Internet
395,1,"""J"" WALKING",,Science,Measurements
396,2,GEORGIE,,Politics,Presidents
397,2,PORGY,,Geography,Cities
398,2,PUDDING,,Language,Words & Word Play
399,2,"""PI""",,Nature,Zoology
400,2,KISSED THE GIRLS,,History,Famous Women
401,2,MADE THEM CRY,(Alex: What a weird choice!),Geography,Countries
402,3,FICTIONAL CHARACTERS,,History,Chronology
403,1,THE LONE STAR STATE,,History,Famous Women
404,1,MOVIE TAGLINES,,Culture,Events
405,1,INSTANT MESSAGING,,Geography,Cities
406,1,NUMB WITH NUMBERS,,Other,Numbers & Number Play
407,1,RANKS & TITLES,,Politics,World Leaders
408,1,WHEN IN...,,Culture,Events
409,2,SOCIOLOGY,,Language,Words & Word Play
410,2,MUSEUMS,,Culture,Museums
411,2,13-LETTER WORDS,,Language,Words & Word Play
412,2,ANATOMY CLASS,,Science,Anatomy
413,2,JANE PAULEY PAVILION,(Alex: Now we know who this place is named for.) [Laughter],Entertainment,Television
414,2,BEATING THE TROJANS,"[Applause from UCLA fans] (Alex: Hey, we don't want to start anything bad here.)",Language,Words & Word Play
415,3,LEGENDARY CHARACTERS,,Language,Words & Word Play
416,1,ARTIFACTS,,Language,Words & Word Play
417,1,LICENSE PLATE MOTTOES,(Alex: We want you to name the state as we present...),Geography,Cities
418,1,COLLEGE FOOTBALL 2000,,Sports,Teams
419,1,"""FOR""-LETTER WORDS",,Language,Words & Word Play
420,1,UCLA ALUMNI,(Alex: And it came up completely at random...),Politics,Government
421,1,BREW INNS,,Nature,Pets
422,2,WORLD CAPITALS,,Geography,Cities
423,2,IN THE MEDICINE CHEST,,Science,Health
424,2,"OH, NO!  IT'S OPERA!",,Culture,Theatre
425,2,TOP O' THE CHARTS,,Music,Contemporary Music
426,2,U.S. HISTORY,,Geography,Countries
427,2,"TENNYSON, ANYONE?",,History,Monarchies
428,3,THE UNIVERSE,,Science,Outer Space
429,1,PRESIDENTIAL LIBRARIES,,Politics,Presidents
430,1,FILMS OF THE '70s,,Entertainment,Movies & Film
431,1,SO NICE THEY NICKNAMED ME TWICE,,Language,Literature
432,1,BACK TO THE HOTEL,,Other,Hotels
433,1,THE WEATHER CHANNEL,,History,Chronology
434,1,THE BIRD IS THE WORD,,Nature,Birds
435,2,FIRST THINGS FIRST,,Geography,Cities
436,2,SPORTS TROPHIES,(Alex: We want you to name the sport.),Sports,Competition
437,2,ART,,Culture,Art
438,2,A RANK CATEGORY,,Language,Words & Word Play
439,2,OLD NAMES ON THE MAP,,Geography,Cities
440,2,"CATCHING SOME ""ZZ""s",,Politics,Law
441,3,20th CENTURY AUTHORS,,History,Chronology
442,1,ON THE BOOKSHELF,,Religion,God & Gods
443,1,VIDEO GAME WORLD,,Entertainment,Games
444,1,SECOND-LARGEST CITIES,(Alex: We want you to name the country in this category...),Geography,Cities
445,1,STIMULANTS,,Science,Health
446,1,COLLEGES & UNIVERSITIES,,Other,Colleges & Universities
447,1,IN THE DICTIONARY,,Language,Words & Word Play
448,2,ANT HISTORY,,Geography,Cities
449,2,FUN WITH FUNGUS,,Science,Health
450,2,DIAGNOSIS MURDER,,History,Monarchies
451,2,2 OUT OF 3 AIN'T BAD,,Language,Words & Word Play
452,2,TAKE ME TO THE THEATRE!,,Culture,Theatre
453,2,FORWARDS & BACK-WORDS,(Alex: Each response is two words--each one being the other spelled backwards.),Religion,God & Gods
454,3,STATE CAPITALS,,Geography,Cities
455,1,ZOOLOGY,,Nature,Zoology
456,1,GEMS & JEWELRY,,History,Monarchies
457,1,THE SURF REPORT,,Geography,Countries
458,1,MUSIC VIDEOS,,History,Famous Women
459,1,NEWSPAPERS & MAGAZINES,,Entertainment,Magazines & Newspapers
460,1,E BEFORE I,,Geography,Cities
461,2,LITERATURE,,Language,Literature
462,2,FAMOUS NAMES,,History,Famous Women
463,2,CHEMISTRY 101,,Science,Chemistry
464,2,LOSING YOUR HEAD IN THE MOVIES,,Entertainment,Movies & Film
465,2,WAR BATTLES,"(Alex: We'll give you [*], you name the war in which they occurred.)",History,War
466,2,WORD & PHRASE ORIGINS,,Language,Words & Word Play
467,3,THE EARLY 20th CENTURY,,History,Chronology
468,1,"YOU SEE ""LA""",,Geography,Cities
469,1,STATE CAPITALS OF THE WORLD,,Geography,Cities
470,1,RELIGION,,Geography,Cities
471,1,GUINNESS RECORDS,,History,Famous Women
472,1,PATRIOTIC SONGS,,Music,Contemporary Music
473,1,20th CENTURY NOVELS,,Language,Literature
474,2,YOU SEE L.A.,,Geography,Cities
475,2,GREEK LETTERS,,Language,Words & Word Play
476,2,HODGEPODGE,,Entertainment,Television
477,2,SWEET NOVEMBER,,History,Monarchies
478,2,DAVID E. KELLEY TV,,Entertainment,Television
479,2,TALK LIKE A SAILOR,,Language,Words & Word Play
480,3,FIRST LADIES,,Politics,Presidents
481,1,Astronomy.com,,Entertainment,Internet
482,1,SITCOMOMS,,Language,Words & Word Play
483,1,THEY WERE EXPELLED,,Geography,Cities
484,1,YE GODS!,,Religion,God & Gods
485,1,"O CAPTAIN, MY CAPTAIN",,History,Ships & Sailors
486,1,MMM... YOU SMELL GREAT,,Culture,Fashion
487,2,EUROPEAN HISTORY,,Politics,World Leaders
488,2,IT'S ALL IN THE DNA,,Science,Health
489,2,JOHN GRISHAM FILMS,,Entertainment,Movies & Film
490,2,THE BILL OF RIGHTS,,Politics,Government
491,2,GREAT AMERICAN NOVELS,,Language,Literature
492,2,WHAT'S THAT CALLED?,,Culture,Food & Drink
493,3,THE INTERNET,,Entertainment,Internet
